,vignette,recipient,subject,infotype,source,type
33,a curious guest gathers information about the hosts of an upcoming neighborhood party including whether they had a criminal record which a curious guest learns by checking online government records,a curious guest,the hosts of an upcoming neighborhood party,whether they had a criminal record,checking online government records,pubrec
34,a curious guest gathers information about the hosts of an upcoming neighborhood party including whether they voted in the last election which a curious guest learns by checking online government records,a curious guest,the hosts of an upcoming neighborhood party,whether they voted in the last election,checking online government records,pubrec
35,a curious guest gathers information about the hosts of an upcoming neighborhood party including how much they paid for their home which a curious guest learns by checking online government records,a curious guest,the hosts of an upcoming neighborhood party,how much they paid for their home,checking online government records,pubrec
36,"Company's recruiting manager gathers information about all job applicants including their marital status which Company's recruiting manager learns by consulting a data broker (i.e., a company that sells data)",Company's recruiting manager,all job applicants,their marital status,"consulting a data broker (i.e., a company that sells data)",pubrec
37,"Company's recruiting manager gathers information about all job applicants including whether they had a criminal record which Company's recruiting manager learns by consulting a data broker (i.e., a company that sells data)",Company's recruiting manager,all job applicants,whether they had a criminal record,"consulting a data broker (i.e., a company that sells data)",pubrec
38,"Company's recruiting manager gathers information about all job applicants including whether they voted in the last election which Company's recruiting manager learns by consulting a data broker (i.e., a company that sells data)",Company's recruiting manager,all job applicants,whether they voted in the last election,"consulting a data broker (i.e., a company that sells data)",pubrec
39,"Company's recruiting manager gathers information about all job applicants including how much they paid for their home which Company's recruiting manager learns by consulting a data broker (i.e., a company that sells data)",Company's recruiting manager,all job applicants,how much they paid for their home,"consulting a data broker (i.e., a company that sells data)",pubrec
40,Company's recruiting manager gathers information about all job applicants including their marital status which Company's recruiting manager learns by asking them,Company's recruiting manager,all job applicants,their marital status,asking them,pubrec
41,Company's recruiting manager gathers information about all job applicants including whether they had a criminal record which Company's recruiting manager learns by asking them,Company's recruiting manager,all job applicants,whether they had a criminal record,asking them,pubrec
42,Company's recruiting manager gathers information about all job applicants including whether they voted in the last election which Company's recruiting manager learns by asking them,Company's recruiting manager,all job applicants,whether they voted in the last election,asking them,pubrec
43,Company's recruiting manager gathers information about all job applicants including how much they paid for their home which Company's recruiting manager learns by asking them,Company's recruiting manager,all job applicants,how much they paid for their home,asking them,pubrec
44,Company's recruiting manager gathers information about all job applicants including their marital status which Company's recruiting manager learns by checking online government records,Company's recruiting manager,all job applicants,their marital status,checking online government records,pubrec
45,Company's recruiting manager gathers information about all job applicants including whether they had a criminal record which Company's recruiting manager learns by checking online government records,Company's recruiting manager,all job applicants,whether they had a criminal record,checking online government records,pubrec
46,Company's recruiting manager gathers information about all job applicants including whether they voted in the last election which Company's recruiting manager learns by checking online government records,Company's recruiting manager,all job applicants,whether they voted in the last election,checking online government records,pubrec
47,Company's recruiting manager gathers information about all job applicants including how much they paid for their home which Company's recruiting manager learns by checking online government records,Company's recruiting manager,all job applicants,how much they paid for their home,checking online government records,pubrec
