,vignette,membership,space,location1,location2,content,access,distribution,type
10,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Housing decisions for next semester. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While in the locker room/study room,heard,Housing decisions for next semester,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the team captains,contract
11,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Housing decisions for next semester. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While in the locker room/study room,heard,Housing decisions for next semester,Ryan was not sure that his teammate realized that he heard/received the information,Students not on the team,contract
12,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. . The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While in the locker room/study room,heard,Who is going to start for the next game/how the projects were assigned,,Other members of the team,contract
13,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. . The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While in the locker room/study room,heard,Who is going to start for the next game/how the projects were assigned,,Other members of the team including the coach,contract
14,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. . The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While in the locker room/study room,heard,Who is going to start for the next game/how the projects were assigned,,Other members of the team including the team captains,contract
15,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. . The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While in the locker room/study room,heard,Who is going to start for the next game/how the projects were assigned,,Students not on the team,contract
16,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While in the locker room/study room,heard,Who is going to start for the next game/how the projects were assigned,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team,contract
17,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While in the locker room/study room,heard,Who is going to start for the next game/how the projects were assigned,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the coach,contract
18,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While in the locker room/study room,heard,Who is going to start for the next game/how the projects were assigned,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the team captains,contract
19,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While in the locker room/study room,heard,Who is going to start for the next game/how the projects were assigned,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Students not on the team,contract
20,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While in the locker room/study room,heard,Who is going to start for the next game/how the projects were assigned,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team,contract
21,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While in the locker room/study room,heard,Who is going to start for the next game/how the projects were assigned,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the coach,contract
22,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While in the locker room/study room,heard,Who is going to start for the next game/how the projects were assigned,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the team captains,contract
23,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While in the locker room/study room,heard,Who is going to start for the next game/how the projects were assigned,Ryan was not sure that his teammate realized that he heard/received the information,Students not on the team,contract
24,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about A date that went horribly wrong. . The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While in the locker room/study room,heard,A date that went horribly wrong,,Other members of the team,contract
25,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about A date that went horribly wrong. . The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While in the locker room/study room,heard,A date that went horribly wrong,,Other members of the team including the coach,contract
26,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about A date that went horribly wrong. . The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While in the locker room/study room,heard,A date that went horribly wrong,,Other members of the team including the team captains,contract
27,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about A date that went horribly wrong. . The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While in the locker room/study room,heard,A date that went horribly wrong,,Students not on the team,contract
28,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about A date that went horribly wrong. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While in the locker room/study room,heard,A date that went horribly wrong,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team,contract
29,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about A date that went horribly wrong. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While in the locker room/study room,heard,A date that went horribly wrong,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the coach,contract
30,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about A date that went horribly wrong. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While in the locker room/study room,heard,A date that went horribly wrong,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the team captains,contract
31,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about A date that went horribly wrong. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While in the locker room/study room,heard,A date that went horribly wrong,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Students not on the team,contract
32,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about A date that went horribly wrong. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While in the locker room/study room,heard,A date that went horribly wrong,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team,contract
33,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about A date that went horribly wrong. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While in the locker room/study room,heard,A date that went horribly wrong,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the coach,contract
34,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about A date that went horribly wrong. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While in the locker room/study room,heard,A date that went horribly wrong,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the team captains,contract
35,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about A date that went horribly wrong. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While in the locker room/study room,heard,A date that went horribly wrong,Ryan was not sure that his teammate realized that he heard/received the information,Students not on the team,contract
36,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Problems with his mom. . The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While in the locker room/study room,heard,Problems with his mom,,Other members of the team,contract
37,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Problems with his mom. . The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While in the locker room/study room,heard,Problems with his mom,,Other members of the team including the coach,contract
38,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Problems with his mom. . The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While in the locker room/study room,heard,Problems with his mom,,Other members of the team including the team captains,contract
39,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Problems with his mom. . The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While in the locker room/study room,heard,Problems with his mom,,Students not on the team,contract
40,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Problems with his mom. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While in the locker room/study room,heard,Problems with his mom,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team,contract
41,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Problems with his mom. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While in the locker room/study room,heard,Problems with his mom,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the coach,contract
42,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Problems with his mom. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While in the locker room/study room,heard,Problems with his mom,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the team captains,contract
43,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Problems with his mom. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While in the locker room/study room,heard,Problems with his mom,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Students not on the team,contract
44,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Problems with his mom. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While in the locker room/study room,heard,Problems with his mom,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team,contract
45,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Problems with his mom. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While in the locker room/study room,heard,Problems with his mom,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the coach,contract
46,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Problems with his mom. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While in the locker room/study room,heard,Problems with his mom,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the team captains,contract
47,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about Problems with his mom. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While in the locker room/study room,heard,Problems with his mom,Ryan was not sure that his teammate realized that he heard/received the information,Students not on the team,contract
48,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about An embarrassing medical condition. . The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While in the locker room/study room,heard,An embarrassing medical condition,,Other members of the team,contract
49,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about An embarrassing medical condition. . The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While in the locker room/study room,heard,An embarrassing medical condition,,Other members of the team including the coach,contract
50,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about An embarrassing medical condition. . The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While in the locker room/study room,heard,An embarrassing medical condition,,Other members of the team including the team captains,contract
51,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about An embarrassing medical condition. . The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While in the locker room/study room,heard,An embarrassing medical condition,,Students not on the team,contract
52,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about An embarrassing medical condition. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While in the locker room/study room,heard,An embarrassing medical condition,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team,contract
53,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about An embarrassing medical condition. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While in the locker room/study room,heard,An embarrassing medical condition,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the coach,contract
54,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about An embarrassing medical condition. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While in the locker room/study room,heard,An embarrassing medical condition,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the team captains,contract
55,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about An embarrassing medical condition. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While in the locker room/study room,heard,An embarrassing medical condition,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Students not on the team,contract
56,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about An embarrassing medical condition. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While in the locker room/study room,heard,An embarrassing medical condition,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team,contract
57,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about An embarrassing medical condition. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While in the locker room/study room,heard,An embarrassing medical condition,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the coach,contract
58,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about An embarrassing medical condition. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While in the locker room/study room,heard,An embarrassing medical condition,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the team captains,contract
59,"Ryan is a New college student On a varsity athletic team. While in the locker room/study room, Ryan heard from a fellow team member talking about An embarrassing medical condition. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While in the locker room/study room,heard,An embarrassing medical condition,Ryan was not sure that his teammate realized that he heard/received the information,Students not on the team,contract
60,"Ryan is a New college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Housing decisions for next semester. . The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While in the cafeteria,heard,Housing decisions for next semester,,Other members of the team,contract
61,"Ryan is a New college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Housing decisions for next semester. . The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While in the cafeteria,heard,Housing decisions for next semester,,Other members of the team including the coach,contract
62,"Ryan is a New college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Housing decisions for next semester. . The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While in the cafeteria,heard,Housing decisions for next semester,,Other members of the team including the team captains,contract
63,"Ryan is a New college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Housing decisions for next semester. . The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While in the cafeteria,heard,Housing decisions for next semester,,Students not on the team,contract
64,"Ryan is a New college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Housing decisions for next semester. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While in the cafeteria,heard,Housing decisions for next semester,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team,contract
65,"Ryan is a New college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Housing decisions for next semester. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While in the cafeteria,heard,Housing decisions for next semester,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the coach,contract
66,"Ryan is a New college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Housing decisions for next semester. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While in the cafeteria,heard,Housing decisions for next semester,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the team captains,contract
67,"Ryan is a New college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Housing decisions for next semester. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While in the cafeteria,heard,Housing decisions for next semester,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Students not on the team,contract
68,"Ryan is a New college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Housing decisions for next semester. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While in the cafeteria,heard,Housing decisions for next semester,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team,contract
69,"Ryan is a New college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Housing decisions for next semester. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While in the cafeteria,heard,Housing decisions for next semester,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the coach,contract
70,"Ryan is a New college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Housing decisions for next semester. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While in the cafeteria,heard,Housing decisions for next semester,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team including the team captains,contract
71,"Ryan is a New college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Housing decisions for next semester. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While in the cafeteria,heard,Housing decisions for next semester,Ryan was not sure that his teammate realized that he heard/received the information,Students not on the team,contract
72,"Ryan is a New college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. . The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While in the cafeteria,heard,Who is going to start for the next game/how the projects were assigned,,Other members of the team,contract
73,"Ryan is a New college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. . The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While in the cafeteria,heard,Who is going to start for the next game/how the projects were assigned,,Other members of the team including the coach,contract
74,"Ryan is a New college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. . The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While in the cafeteria,heard,Who is going to start for the next game/how the projects were assigned,,Other members of the team including the team captains,contract
75,"Ryan is a New college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. . The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While in the cafeteria,heard,Who is going to start for the next game/how the projects were assigned,,Students not on the team,contract
76,"Ryan is a New college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While in the cafeteria,heard,Who is going to start for the next game/how the projects were assigned,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team,contract
77,"Ryan is a New college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the coach",New,On a varsity athletic team,While in the cafeteria,heard,Who is going to start for the next game/how the projects were assigned,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the coach,contract
78,"Ryan is a New college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Other members of the team including the team captains",New,On a varsity athletic team,While in the cafeteria,heard,Who is going to start for the next game/how the projects were assigned,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Other members of the team including the team captains,contract
79,"Ryan is a New college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan's teammate only shared the information reluctantly after being chided by other students on the team. The next day, Ryan shared the information with Students not on the team",New,On a varsity athletic team,While in the cafeteria,heard,Who is going to start for the next game/how the projects were assigned,Ryan's teammate only shared the information reluctantly after being chided by other students on the team,Students not on the team,contract
80,"Ryan is a New college student On a varsity athletic team. While in the cafeteria, Ryan heard from a fellow team member talking about Who is going to start for the next game/how the projects were assigned. Ryan was not sure that his teammate realized that he heard/received the information. The next day, Ryan shared the information with Other members of the team",New,On a varsity athletic team,While in the cafeteria,heard,Who is going to start for the next game/how the projects were assigned,Ryan was not sure that his teammate realized that he heard/received the information,Other members of the team,contract
